link,next,text,title
[<200 https://habr.com/ru/post/662670/>],page2,"Средства межсетевого экранирования стали де-факто атрибутом любой сетевой инфраструктуры. Почтовому трафику тоже необходимы средства фильтрации. Поэтому в современных , реалях тяжело представить почтовую инфраструктуру организации без , (,)., (ЭП) является одним из векторов атак, как средство для доставки ВПО клиентам с целью проникновения в корпоративную сеть организации. Но у ЭП есть и еще один враг - спам, мешающий работе и заполняющий полезное дисковое пространство на почтовых серверах. Для решения данных проблем, уже разработаны решения: коммерческие и распространяемых под свободными лицензиями. Из коммерческих наибольшей популярностью пользуется продукт ,. Но все мы знаем про проблемы ""окирпичичвания"" и , окончания лицензий вендоров в текущих условиях, поэтому попробуем посмотреть в сторону свободно распространяемых продуктов.,Свободные решения считаются более сложными в настройке и требуют опыта настройки и администрирования. Конечно, можно накатить , и поставить туда , с использованием , и ,. Однако, если вам, как и мне, хотелось бы раскатать одну виртуалку (в которой уже из коробки есть все необходимое), зайти на вебку и все там настроить - тогда ваш выбор - ,.,Многие слышали о Proxmox благодаря решению для виртуализации - ,, как замену , от VMWare. Поэтому людям, знакомых с ,, , не покажется чем-то новым в установке и администрировании, так как это тот же Debian с тем же Web-интерфейсом, только заточен под ЭП.,Честно сказать, я думал, что мало кто использует данный программный продукт и скептически относился к нему, как замена для ESA. Однако, информация с , меня удивила и придала мне уверенности, что я не один такой.,Как говорилось выше, почтовый шлюз является аналогией межсетевого экранирования для почты. Поэтому ставить PMG, как и любой другой шлюз, нужно , (на границе попадания почтового трафика извне) ,. Таким образом, между SMTP-сервером отправителя (или спамера) и SMTP-сервером получателя есть барьер в виде почтового шлюза.,PMG поставляется в виде ,инсталлятора. Поэтому на чем его устанавливать - решение на вкус и цвет каждого. Хоть на старый ПК, хоть на сервак, хоть использованием виртуализации.,Установка предельно простая, описана в официальной документации и мало чем отличается от установки типичной ОС из ISO-инсталлятора. Пользователи PVE вообще не заметят существенной разницы.,После успешной установки, для управления PMG необходимо перейти в браузере по адресу: , и ввести учетные данные, указанные при установке.,Если описывать настройку всех возможностей, то статья превратится в документацию сайта разработчика, поэтому опишу кратко основные (необходимые) параметры., Для настройки (администрирования) механизмов почтового шлюза представлены следующие ,:, - настройка цепочек правил контентной фильтрации писем (аналог , у ESA). Касается обработки писем и действий над ними;, - настройка основных параметров самого шлюза. Включение/отключение механизмов защиты, настройки сети, ретрансляции, антивирусного и спам движков, управление пользователями, настройка кластера, бекапирования, сертификатов;, - управление почтовыми очередями, карантинами, настройка Black/White листов, просмотр трекинга сообщений;,PMG из коробки уже наделен цепочками правил в ,, готовыми к работе на страже вашего почтового трафика. Подробно останавливаться на этом не вижу смысла, кто работал с ESA - поймет, и допилит под себя, кто впервые на это смотрит - необходимо понять суть. Суть в том, что для построений цепочек правил (,) существуют следующие объекты:, - действия, применяемые при попадании в правило (Rule). Например, доставить письмо пользователю, дропнуть письмо, поместить в карантин, удалить вложения, оповестить администратора и т.д.;, - сгруппированные по какому-либо признаку списки объектов, относящихся к отправителю или получателю (конкретные адреса, домены, IP-адреса, регулярные выражения и т.д.);, - сгруппированные по какому-либо признаку списки объектов, относящихся к содержимому электронного письма (картинки, ссылки, вложения, офисные файлы и т.д.);, - сгруппированные по какому-либо признаку списки объектов, относящихся к временному интервалу, например, нерабочее время или ночь;,Соответственно, подобно составлению ACL, комбинирование данных объектов в цепочку - это и есть правила. Образно работает это так:, Если мне прислали письмо от , (адрес из Blacklist в ,), в письме офисный документ .docx (файл из ,) - заблокировать письмо или отправить в карантин (действие из ,).,Основной раздел для настройки работы почтового шлюза. В этом разделе первым делом нужно настроить ,.,В разделе , в поле , указываем IP-адрес или доменное имя SMTP-сервера, на который нужно отправлять письма дальше (сервер, обслуживающий ваш домен)., В разделе , необходимо добавить ,, обслуживаемые вашим SMTP-сервером. Делается это для того, чтобы PMG понимал, какие письма ему обрабатывать и отправлять дальше., В разделе , вы можете изменить какие порты PMG должен слушать. По-умолчанию 25 порт (,) служит для приема писем снаружи (из Интернета). Порт 26 (,) является релеем для получения писем от вашего почтового сервера и отправки их затем наружу (на другие почтовые домены)., В разделе , необходимо указать какому домену какой SMTP-сервер использовать для пересылки. У вас может быть несколько обслуживаемых доменов и на каждый из этих доменов может быть свой SMTP-сервер., В разделе , необходимо указать , - сети с которых будет , прием для пересылки на другие домены. Делается это для того, чтобы письма пересылались наружу только с ваших доверенных SMTP-серверов., В разделе , можно включить TLS при отправки и получении сообщений. Это означает, что при включенном TLS PMG будет пытаться отправлять письма наружу с использованием расширения ESMTP - ,, а так же сможет такие такие письма принять., В разделе , можно включить подпись исходящих сообщений. О том как добавить в PMG свой ключ подписи - написано в документации., В разделе , можете указать те адреса и домены, которые не будут проходить проверки, включенные в разделе ,., В разделе , настраивайте механизмы проверок в зависимости от политики вашей организации. От себя хочу посоветовать изменять стандартный баннер и не показывать всем, что вы используете.,На этом основное конфигурирование почтового шлюза заканчивается. Все остальные настройки корректируются в зависимости от ваших личных предпочтений и требований безопасности.,В качестве антиспам-решения PMG использует под капотом ,. По-умолчанию включен и готов к работе из коробки. Для изменения параметров антиспама используются разделы:, ,В качестве АВЗ PMG использует движок ,. По-умолчанию включен и готов к работе из коробки. Для изменения параметров антивирусного движка используются разделы:, , позволяет работать в режиме кластера. Это означает, что у вас может быть 2 почтовых шлюза (для балансировки нагрузки или отказоустойчивости). При этом режиме работы, настройки и политики применяемые на одном шлюзе синхронизируются с другим и наоборот (аналог стека у коммутаторов)., так же из коробки позволяет сделать вам кластер из , нод. Аналогией является кластер в PVE, где несколько физических гипервизоров можно объединить в кластер.,Настройка банально проста и происходит в разделе ,. Для настройки объединения нод PMG в кластер необходимо:,На мастер ноде создать кластер (нажать кнопку ,) и подождать завершения операции;,На мастер ноде нажать на кнопку , и скопировать себе , и ,;,На ноде, которую хотите добавить в кластер нажать кнопку , и ввести , и ,, скопированного с мастер-ноды.,Кластер готов. Теперь настройки применяемые на одной из нод будут применены и на другой. Все просто, не так ли?,И это все? Конечно, , нет. Данная статья рассчитана на то, чтобы познакомить вас с таким замечательным, на мой взгляд, решением, как ,. Конечно до , ему еще далеко, но из того, что предлагает , - это ,. Настройки, приведеные в статье позволяют лишь подготовить PMG для пересылки писем от внешнего отправителя на внутренний почтовый сервер и наоборот. Как я говорил в самом начале, прелесть данного решения в готовности к бою со спамом из коробки, при минимальных затратах на его настройку. Главная задача настройки сводится к ""направлению"" , через почтовый шлюз. Прелесть данного решения еще и в том, что под капотом , с , и т.д., которые уже взаимодействуют между собой. Все, что вам остается - тюнить правила и политики. Если не хватает возможностей с вебки - лезем по , на PMG, устанавливаем пакеты, конфигурируем файлы, танцуем с бубном - все в ваших руках, все как мы любим. Ну и, конечно же - чтение документации. У PMG есть свои утилиты для управления политиками, а так же Rest API.,Не забудьте указать на вашем SMTP-сервере (MTA) в качестве , - PMG с портом 26, для отправки всех писем наружу через шлюз. Так же не забудьте настроить , на вашем пограничном оборудовании, чтобы , с портом 25 указывал на 25 порт PMG. Дерзайте!,DevOps",ЧудESA защиты корпоративной почты или внедрение свободных почтовых шлюзов на базе Proxmox Mail Gateway / Хабр
[<200 https://habr.com/ru/post/662561/>],page2,"Существует , задача: ,Есть 2 емкости: 5 литров и 3 литра. Как отмерить 4 литра жидкости используя , эти 2 емкости?,Понятное дело что тут важно не сколько знание правильного ответа, а знание , решения таких задач. Ведь вместо целевых 4х литров могут спросить отсчитать и 1,2,6,7 литров. ,В этом тексте я решу эту задачу в общем виде при помощи конечного автомата. Так как тут явно можно проследить , и , воздействия. Также я упомяну про , язык Front-End разметки ,. Методика конечного автомата хорошо изучена и поставлена на рельсы. Состоит из 3 фаз.,Состояние определяется количеством жидкости в паре сосудов. Согласно комбинаторике по правилу умножения существует всего 24 состояния. Вот они все перечислены.,из условий задачи),Существует всего 5 , действий с бутылками. Вот их перечень.,Как гласит английская народная пословица “,” (A picture is worth a thousand words). Также мой универский профессор часто говорил, что инженеры - это про схемы. Поэтому представляю блок-схему в виде ориентированного графа состояний для задачи про бутылки.,Я накропал на языке С консольную утилиту, которая прокручивает конечный автомат и сохраняет в файл составленный код на языке dot. Далее бесплатная утилита dot.exe поедает файл *.dot и преобразует его во всем известный *.svg файл. Наконец  браузер Chrome.exe поедает  *.svg и отрисовывает в окне на мониторе. Язык Dot хорош тем что он имеет простой синтаксис. Dot более высокоуровневый язык, чем спецификация *.svg файлов.  ,Глядя на этот , , становится ,, что чтобы отмерить 4 литра надо выполнить следующую  процедуру из 6-ти инструкций:,есть еще одно , решение,Easy!,Вот код Dot графа для тех, кто захочет изучить граф внимательнее.,Можно отрисовать граф на этом сайте и сохранить его в *.svg.,Редактировать *.svg можно при помощи бесплатной программы ,.exe.,Эта задача может служить отличной , для обучения теории конечных автоматов FSM. Конечные автоматы повсеместно используются в промышленной разработке, например, системного программного обеспечения.,Существует 8 , состояний: 1/5_1/3; 1/5_2/3; 2/5_1/3; 2/5_2/3; 3/5_1/3; 3/5_2/3; 4/5_1/3; 4/5+2/3. В эти состояния никак , как только не переливай содержимое сосудов. Если вы захотите , человека на собеседовании, то можно попросить его ""как перелить жидкости так чтобы в каждой бутылине осталось по 2 литра?"" или ""как перелить жидкости так чтобы в каждой бутылке осталось по 1 литру?"".,Формально можно отмерить не только 4 лита, а , , от 1 до 8 включительно.,Как видите, язык Front-End разметки , отлично подходит для автоматической отрисовки , векторной графики. Конечно dot тула несовершенна и даже , графы строит с пересечениями ребер. Если вы знаете тулу которая , , то укажите это в комментариях.,Буду признателен, если пришлете описания подобного рода логических задач в комментариях к тексту.,Пользователь",Задача про две ёмкости для жидкости / Хабр
[<200 https://habr.com/ru/post/662576/>],page2,"Привет, дорогой друг! Сегодня я продолжу рассказывать про поиск флага на Hackthebox. Забегу немного вперед: данная статья будет очень короткой. Мне довольно легко и быстро удалось найти флаг.,Итак, само задание:,По-русски: нас просят найти в социальных сетях информацию, которая поможет проникнуть в компанию ""Evil Corp LLC"",Как и любой специалист, я очень ленив. Чтобы не ломать голову, я пошел в Google и написал там такой запрос:,Не долго думая, кликнул на первую ссылку,и попал в Инстаграм ,Итак, мы видим Инстаграм какой то девушки. Где же может быть флаг? А флаг может быть везде и нигде. Не стоит забывать, я могу идти по ложному пути. Требуется поискать признаки флага или направления для его поиска в данном аккаунте.,Есть разные способы и инструменты разбора Инстаграм-аккаунтов, но в данной статье я буду рассказывать, как работать руками, не имея никаких дополнительных инструментов. Только умелые руки, светлая голова и хардкор!,Начинаем внимательно осматривать фотографии, находящиеся в аккаунте. Одна фотография с ноутбуком и бейджем E CORP привлекает мое внимание. Да там еще и комментариев много.,Все! Данное задание хоть и относиться к MEDIUM и считается вроде как более сложным, чем предыдущие, написанные мной ранее. Тем не менее, мне удалось ее решить в течении 15 минут. Вероятно, мне просто повезло и тот, кто ранее нашел флаг в другом месте, просто добавил комментарий с разгадкой в Инстаграм-аккаунт девушки. Как думаете?,До скорой встречи!,Великий и ужасный Сергей Сталь,Редактор: Александра Калюжная,Данная статья написана мной и продублирована на , в целях популяризации информационной безопасности.,специалист по информационной безопастности",Очередные поиски флага на Hackthebox в категории OSINT / Хабр
[<200 https://habr.com/ru/post/662566/>],page2,"По материалам статьи Craig Freedman: ,Уровни изоляции транзакций Serializable и Snapshot обеспечивают согласованное чтение из базы данных. На любом из этих уровней изоляции транзакция может читать только зафиксированные данные. Более того, транзакция может читать одни и те же данные несколько раз, не заботясь о каких-либо параллельных транзакциях, вносящих изменения в эти же данные. Те нежелательные эффекты, которые были продемонстрированы в предыдущих статьях при Read Committed и Repeatable Read, на уровнях изоляции Serializable и Snapshot просто невозможны.,Обратите внимание, что я использовал фразу «не заботясь о каких-либо … вносящих изменения». Такой подбор слов является преднамеренным. На уровне изоляции Serializable ядро SQL Server накладывает блокировку диапазона ключей и удерживает её до окончания транзакции. Блокировка диапазона ключей гарантирует, что после того, как транзакция прочитает данные, никакая другая транзакция не сможет изменить эти данные (даже для вставки фантомных строк) до тех пор, пока не завершится транзакция, удерживающая блокировку. На уровне изоляции Snapshot ядро SQL Server не накладывает никаких блокировок. Таким образом, одновременная транзакция может изменять данные, которые уже прочитаны второй транзакцией. Вторая транзакция просто не замечает этих изменений и продолжает использовать старую версию данных.,Уровень изоляции Serializable основан на пессимистическом контроле параллелизма. Он гарантирует согласованность, предполагая, что две транзакции могут пытаться обновить одни и те же данные, и использует блокировки, чтобы гарантировать, что они этого не cделают, но (за счет уменьшения параллелизма) одна транзакция должна ждать завершения другой, и две транзакции могут заблокироваться. Уровень изоляции Snapshot основан на оптимистичном управлении параллелизмом. Это позволяет транзакциям выполняться без блокировок и с максимальным параллелизмом, но может произойти сбой и последующий откат транзакции, если две транзакции одновременно попытаются изменить одни и те же данные.,Как видим, существуют различия между уровнями изоляции Serializable и Snapshot в уровне параллелизма (которого можно достичь), и в наборе возможных проблем (взаимоблокировки и конфликты обновлений).,Рассмотрим, чем работа в Serializable и Snapshot отличаются с точки зрения обеспечиваемой ими изоляции транзакции. При Serializable всё довольно просто. Чтобы результат двух транзакций считался сериализуемым, они должны выполняться в некотором порядке по одной транзакции за раз.,Snapshot не гарантирует такой уровень изоляции. Несколько лет назад , предложил прекрасный пример, демонстрирующий различия этих уровней. Представьте, что у нас есть мешок, содержащий смесь белых и чёрных шаров. Предположим, мы хотим запустить две транзакции. Одна транзакция перекрашивает каждый белый шар в чёрный шар. Вторая транзакция перекрашивает каждый чёрный шар в белый шар. Если мы запускаем эти транзакции с изоляцией Serializable, они будут исполняться поочерёдно. После первой транзакции останется мешок с шарами только одного цвета. После этого вторая транзакция изменит все эти шары на другой цвет. Есть только два возможных исхода: мешок только с белыми шарами или мешок только с чёрными шарами.,Если мы запускаем эти транзакции с изоляцией Snapshot, появляется третий результат, который невозможен при изоляции Serializable. Каждая транзакция может одновременно делать снимок мешка с шарами в том виде, в каком он был до внесения изменений. Теперь одна транзакция находит белые шары и перекрашивает их в чёрные шары. В то же время другие транзакции находят чёрные шары (но только те шары, которые были чёрными, когда мы сделали снимок, а не те шары, которые первая транзакция изменила на чёрные) и перекрашивает их в белый цвет. В результате, мешок будет содержать смесь белых и чёрных шаров. На самом деле, с этим уровнем изоляции мы правильно поменяли цвет каждого шара.,Следующий рисунок иллюстрирует эти различия:,Мы можем продемонстрировать подобное поведение средствами SQL Server. Обратите внимание, что Snapshot изоляция доступна только с SQL Server 2005 и должна быть явно включена для используемой базы данных:,Начнем с создания простой таблицы с двумя строками, обозначающими два шара разных цветов:,Затем в первом сеансе начните транзакцию с уровнем изоляции Snapshot:,Теперь, прежде чем зафиксировать изменения, запустите во втором сеансе следующее:,Наконец, зафиксируйте транзакцию в первом сеансе и проверьте данные в таблице:,Вот какой получился результат:,Как можно видеть, шар 1, который изначально был чёрным, теперь стал белым, а шар 2, который изначально был белым, стал чёрным. Если вы попробуете тот же эксперимент с уровнем изоляции Serializable, одна транзакция будет ждать завершения другой, и, в зависимости от порядка, оба шара будут белыми или чёрными.,DBA",Serializable vs. Snapshot Isolation Level / Хабр
[<200 https://habr.com/ru/company/audiomania/blog/662471/>],page2,"Существует множество языков для музыкального программирования. О некоторых из них, например, , или ,, мы рассказывали в блоге. Сегодня поговорим о проекте , — браузерном DAW, реализующем концепцию music-as-code.,В общем случае концепция music-as-code и муз. программирование подразумевают написание треков на специализированных ЯП. Но в отличие от других систем такого класса, , предлагает использовать JavaScript. Инструмент разработал инженер Джеймс Райан в прошлом году и выложил исходники ,.,Для воспроизведения звуков и музыки приложение использует Web Audio API, а также фреймворки , и , и библиотеку ,. Рабочая область Harmonicon похожа на большинство IDE для разработки, так как использует open source редактор ,.,Для настройки звуков в IDE представлен браузер аккордов. Он позволяет выбрать тональность, вид лада (например, мажор или минор), а также октаву (1–6). Далее, система автоматически сгенерирует код, необходимый для воспроизведения этого аккорда — например, для мажорного трезвучия C (CEG) он будет выглядеть так:,Виртуальная среда позволяет работать с синтезатором — он находится в правой части рабочей области — и подключать MIDI-устройства. В целом IDE содержит целую библиотеку стандартных инструментов — там есть клавишные (пианино, орган, гармония), ударные (ксилофон), струнные (арфа, контрабас, скрипка, виолончель) и многие другие. Сохранять музыкальные файлы можно как в облако, так и на локальный диск.,Также есть список шаблонов с аудиоэффектами. Например, чтобы добавить задержку в генерируемый трек, достаточно прописать команду:,Следующая строка добавляет эффект тремоло:,Документация с описанием функций и синтаксиса — ,. ,Стоит заметить, что проект Harmonicon является экспериментальным, поэтому в его работе можно встретить баги — в том числе ошибки при компиляции. Для повышения стабильности стоит работать в браузере Chrome. Но в целом эта IDE — неплохой инструмент, который позволяет познакомиться с концепцией music-as-code.,Существуют и другие виртуальные среды, позволяющие взять легкий старт в музыкальном программировании. Одна из известных — ,, которая также , установки приложений и работает из браузера. Для написания композиций используется реализация LISP с компиляцией в JavaScript — Clojurescript. Треки воспроизводятся при помощи Web Audio API. Стоит заметить, что инструмент плохо подходит для написания сложных композиций, но помогает быстро погрузиться в тему.,Еще один интересный проект — открытый визуальный ЯП ,. Программист работает не с кодом, а функциональными объектами, которые объединяются в патчи — по аналогии с модульными синтезаторами и патч-кордами для соединений. Pd подходит для цифровой обработки сигналов и на нем можно , алгоритмическую музыку.,Пользователь",Музыка как код — опробовать концепцию можно прямо в браузере / Хабр
[<200 https://habr.com/ru/post/662533/>],page2,"Много лет назад я занимался созданием маленьких Flash игр и публиковал их на сайте Newgrounds. Сейчас я делаю полноценные игры для ПК.,На сегодняшний день у меня 4 законченные коммерческие игры в Steam, и самая последняя из них — выпущенная в 2021 году Pilie Pals, о процессе создания которой я расскажу в этой статье. Я работал над игрой всего примерно 6 месяцев, по вечерам после работы и на выходных.,Я занимаюсь дизайном, программированием, графикой, звуками и музыкой в одиночку. Мне это нравится, и таким образом я могу часто переключаться с одного вида деятельности на другой, благодаря чему не теряю интерес к разработке игры.,Я написал собственный 3D игровой движок ,, используя Haxe, C++ и OpenGL, и на данный момент он используется тремя моими играми. Подробности и причины создания собственного движка приведены ,. Такой подход меня вполне удовлетворяет, и я не планирую его менять.,Трейлер к игре. Доступна ,, а также есть ,.  ,В начале разработки Pilie Pals я скопировал папку проекта своей предыдущей игры , и удалил все ресурсы и файлы кода, связанные с игрой. Остался ""чистый"" движок, с которым можно экспериментировать, чтобы создать прототип следующей игры.,Перед тем, как описывать создание Pilie Pals, я объясню несколько главных принципов работы моего движка.,Мой движок почти полностью основывается на внешних данных (data-driven). Это значит, что я создаю набор файлов с данными, а движок их читает и обрабатывает.,Я стараюсь избегать жёсткого прописывания чего-либо в исходном коде игры. По возможности, вся информация хранится в отдельных файлах: игровые объекты, уровни, переводы текстов, визуальные и звуковые эффекты, и даже некоторая игровая логика, написанная ,. Большая часть данных хранится в формате JSON.,Самое большое преимущество такого подхода заключается в том, что я могу создавать и править игру, не выходя из неё. При изменении какого-либо файла с данными движок автоматически перегружает ту часть данных, которая изменилась, без необходимости перезапускать или пересобирать что-то вручную. То же самое происходит с другими ресурсами, например, с текстурами, 3D моделями и звуками.,Ещё один плюс — это потенциальная поддержка пользовательских модификаций игры. Недавно я выложил новое обновление для игры, которое добавляет русскую локализацию, ,.,Два главных компонента сцены игры в моём движке — это сущности и карты.,Сущность — игровой объект, который я описываю в JSON файле, чтобы впредь создавать экземпляры объектов такого вида. Например, персонаж игрока — это сущность.,Файл описания сущности содержит информацию:,Какие 3D модели содержит данная сущность, и как их отображать,Какие анимации могут совершать модели этой сущности, и как осуществляются переходы из одного состояния в другое,Какие эффекты может запускать данная сущность,Какие звуки может воспроизводить данная сущность,Какие области соприкосновения есть у данной сущности,Какие у сущности могут быть состояния, и каково поведение сущности в разных состояниях,Другие данные для использования в игровой логике: специальные тэги, группы, и т.д.,Стоит отметить, что у каждого экземпляра сущности есть собственная машина состояний, и у каждого состояния есть последовательность действий, которую сущность может проигрывать.,Например, можно задать состояние ""walk"" (ходьба) для сущности персонажа игры, и последовательность действий этого состояния может содержать команды, которые запускают нужную анимацию 3D модели, проигрывают звуки шагов и показывают эффект поднимающийся с земли пыли. Всё это описывается в текстовом файле, который можно редактировать и сразу тестировать, и это сильно ускоряет процесс разработки.,Карта — это файл данных, который содержит описание расположения сущностей. В этом файле также есть многоуровневая сетка ""плиток"", из которой можно построить ландшафт. Я не меняю файлы карт вручную — карты создаются с помощью встроенного редактора.,Так как движок знает всю информацию о сущностях, которые располагаются на карте, он в состоянии автоматически оптимизировать некоторые вещи. Например, если сущность является статичной и никогда не двигается (например, дерево или ландшафт), то движок автоматически объединяет её вместе с другими статичными сущностями, которые используют одинаковую текстуру, и создаёт одну общую 3D модель. Это значительно сокращает количество отображаемых видеокартой объектов, что сильно улучшает  производительность игры.,Некоторая часть игровой логики может быть описана в текстовых файлах, но она используется только для создания игровых сценариев, а не основной функциональности игры. Такая логика, как система соприкосновений, поведения искусственного интеллекта, правила игрового процесса и т.д. —  программируется в исходном коде Haxe, который превращается в C++ при компиляции.,Есть 2 категории файлов кода, связанных с логикой:,Процессоры логики сущностей — могут быть присоединены к отдельным сущностям, используются для обработки индивидуальной логики объектов (например, искусственного интеллекта). Не каждой сущности нужен процессор логики.,Ядро — одиночный класс, который описывает общую логику правил игрового процесса.,У меня была идея о пошаговой игре-головоломке, в которой игрок может управлять сразу несколькими персонажами, способными поднимать и переносить всякие предметы. Логика игры должна была быть пошаговой, потому что я хотел записывать каждый игровой шаг, чтобы дать игроку возможность отменить свои шаги, т.е. вернуться в прошлое.,Сначала я написал ядро логики и реализовал пошаговую систему. Для каждой сущности, которая является частью головоломки, ядро выставляет состояние.,Игрок может выделить персонажа и выполнить действие (например, переместиться, или поднять предмет), которое меняет состояние игрового мира. Игра потом вычисляет, является ли возможным новое состояние мира (например, не столкнулся ли игрок с препятствием), и проверяет, нужна ли какая-либо реакция на это изменение, со стороны других элементов  головоломки (например, если игрок положил какой-то предмет на кнопку, то у кнопки должно измениться состояние на ""нажатая""). Если все проверки пройдены, то изменения применяются и добавляются в историю шагов.,Игрок может отменить последний шаг, просто вернувшись в предыдущее состояние мира.,В этом заключается основная функциональность игрового ядра. На самом деле, всё немного сложнее, потому что мне нужно обеспечить плавные, анимированные переходы между состояниями, позволить элементам быть переносимыми другими элементами, и делать другие интересные вещи — но всё это добавляется к базовому ""фундаменту"" логики игры.,Реализация такой системы и всех крайностей заняла у меня примерно неделю. Оставшееся время заняли размышления о том, какую игру я хочу сделать. В это время у меня появилась идея о том, что персонажи могли бы переносить других персонажей, и даже создавать стопки из друг друга.,Я создал 4 уровня игры, используя мой существующий редактор карт, чтобы убедиться, что игровой процесс действительно интересный. Результат мне понравился, и я продолжил разработку.,Теперь у меня был рабочий прототип игры, и можно было начинать экспериментировать с художественными стилями. Я остановился на мультяшном визуальном стиле, и весь месяц занимался созданием 3D моделей, анимаций, эффектов, интерфейса, переходами, и т.д. Игра разбита на 5 тематических миров.,Я использую Blender для создания 3D моделей и анимаций, и GIMP для создания текстур.,Пластиковый вид игры достигнут с помощью написанного мною шейдера, который применяет заранее приготовленные данные об освещении к моделям. Работает это так: берётся заготовленная картинка освещённой сферы, применяется к некоторым частям модели, смешивая цветовые данные текстуры на основе нормалей модели в пространстве экрана.,Идея такого эффекта появилась у меня после работы с программами 3D моделирования и скульптуры. Подобный эффект в таких программах иногда называется MatCap. Мой подход заключается в том, что я смешиваю такой приём с традиционными алгоритмами освещения в реальном времени. Получается интересный эффект, который обрабатывается видеокартой очень быстро.,Весь месяц я улучшал User Experience игры: добивался плавности анимаций, хорошей чувствительности управления, чистоты графических элементов, удобности интерфейса.,Было реализовано меню паузы, меню выбора уровня, система последовательности уровней и системы сохранения — практически весь этот функционал у меня уже был создан для предыдущих игр, поэтому можно было повторно использовать часть этого кода, откорректировав некоторые визуальные вещи.,Работать над интерфейсами довольно утомительно, но плохой UX раздражает игроков, поэтому важно сделать всё правильно с самого начала.,Я решил сделать отполированный, полноценный ""вертикальный срез"" как можно быстрее. Таким образом я смог бы проверить, как бы выглядел готовый проект. Так как в игре на тот момент было мало контента, можно было свободно вносить глобальные изменения без особых проблем.,Я пишу музыку и создаю звуки в виртуальном модульном синтезаторе SunVox.  Я — самоучка, и создание музыки у меня занимает довольно много времени.,В моём движке есть система динамического звукового окружения, которая может генерировать окружающий шум в реальном времени, используя подготовленные звуки (например, шум волн или крики птиц), меняя их частоту и воспроизводя в разных направлениях и в разных комбинациях. Эта информация описана в отдельном JSON файле.,На тот момент у меня была полностью ""отполированная"" игра, в которой было всего 4 уровня. Я создал ещё 6, и выпустил демо версию игры.,Так я стал собирать отзывы от игроков на ранней стадии разработки, и смог на их основе улучшить User Experience игры.,Примерно в это время я добавил систему подсказок в игру. О ней я подробно написал ,.,Следующие два месяца я делал новые уровни, добавлял новые игровые элементы, используя ту систему сущностей, которую я описал выше. В исходном коде игры уже практически не было никаких изменений, потому что ядро игры уже было полностью готово.,Эти два месяца я в основном работал в редакторе карт.,В целом я удовлетворён результатом.,В начале разработки игры у меня уже было довольно чёткое представление о том, какую игру я хочу сделать. Поэтому процесс разработки прошёл намного плавнее и быстрее, чем обычно. Так я осознал важность наличия чёткой цели с самого начала.,Также оказалось хорошей идеей сделать отполированный вертикальный срез как можно скорее. Таким образом, я мог начать делать скриншоты, видео и даже выложить демо версию хорошего качества всего после 4 месяцев работы. Я получил несколько полезных отзывов от игроков ещё до того, как большая часть контента была готова, поэтому было проще вносить изменения, ничего при этом не ломая.,В этот раз я практически ничего не менял в ядре своего движка, и большая часть времени ушла непосредственно на создание игрового контента. Я буду продолжать использовать свой движок в будущих проектах.,Индивидуальный разработчик компьютерных игр.",Как я создаю игры на своём 3D движке в одиночку / Хабр
